"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2020","1,306.48","1,311.95","1,316.01","1,300.26","240.14M","-0.29%"
"Dec 08, 2020","1,310.26","1,300.40","1,311.57","1,298.92","234.52M","0.73%"
"Dec 07, 2020","1,300.77","1,308.51","1,308.61","1,296.23","191.66M","-0.62%"
"Dec 04, 2020","1,308.88","1,294.46","1,308.89","1,293.40","195.29M","1.09%"
"Dec 03, 2020","1,294.77","1,296.72","1,300.32","1,290.02","233.69M","-0.17%"
"Dec 02, 2020","1,296.94","1,288.00","1,299.08","1,288.00","238.32M","0.80%"
"Dec 01, 2020","1,286.61","1,283.54","1,301.30","1,283.54","241.25M","0.81%"
"Nov 30, 2020","1,276.31","1,274.21","1,277.71","1,267.47","316.60M","0.29%"
"Nov 27, 2020","1,272.68","1,263.80","1,274.02","1,262.42","101.69M","0.95%"
"Nov 25, 2020","1,260.66","1,266.19","1,267.77","1,256.24","166.28M","-0.42%"
"Nov 24, 2020","1,266.01","1,264.05","1,274.57","1,262.18","241.40M","0.28%"
"Nov 23, 2020","1,262.42","1,268.81","1,272.34","1,254.54","205.27M","-0.30%"
"Nov 20, 2020","1,266.25","1,268.08","1,272.24","1,262.45","244.06M","-0.20%"
"Nov 19, 2020","1,268.74","1,270.52","1,271.17","1,260.15","220.89M","-0.14%"
"Nov 18, 2020","1,270.51","1,296.54","1,296.82","1,270.40","250.92M","-1.76%"
"Nov 17, 2020","1,293.30","1,298.76","1,298.88","1,288.53","295.96M","-0.73%"
"Nov 16, 2020","1,302.87","1,309.99","1,314.03","1,296.74","228.62M","-0.19%"
"Nov 13, 2020","1,305.40","1,294.18","1,309.99","1,293.33","171.86M","1.30%"
"Nov 12, 2020","1,288.60","1,290.66","1,296.40","1,280.67","180.59M","-0.40%"
"Nov 11, 2020","1,293.81","1,301.19","1,305.32","1,287.91","203.26M","-0.17%"
"Nov 10, 2020","1,295.95","1,297.05","1,300.70","1,281.98","277.52M","0.35%"
"Nov 09, 2020","1,291.38","1,301.26","1,329.58","1,290.81","469.80M","0.73%"
"Nov 06, 2020","1,282.04","1,281.68","1,288.33","1,273.17","179.70M","0.15%"
"Nov 05, 2020","1,280.07","1,284.60","1,295.28","1,277.61","220.48M","0.18%"
"Nov 04, 2020","1,277.71","1,239.46","1,297.75","1,239.46","310.21M","4.45%"
"Nov 03, 2020","1,223.30","1,213.50","1,236.28","1,213.50","162.29M","1.44%"
"Nov 02, 2020","1,205.91","1,196.54","1,208.40","1,193.19","184.93M","1.82%"
"Oct 30, 2020","1,184.32","1,182.32","1,190.17","1,168.75","213.70M","-0.07%"
"Oct 29, 2020","1,185.17","1,192.41","1,198.56","1,178.22","196.99M","-0.71%"
"Oct 28, 2020","1,193.70","1,220.18","1,220.23","1,192.97","211.68M","-3.23%"
"Oct 27, 2020","1,233.48","1,240.06","1,243.54","1,233.02","178.72M","-0.69%"
"Oct 26, 2020","1,242.03","1,249.00","1,249.00","1,230.45","166.58M","-1.11%"
"Oct 23, 2020","1,255.97","1,256.41","1,265.22","1,249.08","162.37M","0.39%"
"Oct 22, 2020","1,251.08","1,234.93","1,253.44","1,234.55","153.36M","1.49%"
"Oct 21, 2020","1,232.76","1,237.81","1,242.38","1,229.93","143.11M","-0.47%"
"Oct 20, 2020","1,238.56","1,238.56","1,249.36","1,237.57","137.07M","0.13%"
"Oct 19, 2020","1,236.95","1,259.39","1,264.46","1,233.32","163.28M","-1.64%"
"Oct 16, 2020","1,257.60","1,247.60","1,266.46","1,247.60","188.18M","1.02%"
"Oct 15, 2020","1,244.88","1,242.52","1,247.12","1,236.23","160.87M","-0.72%"
"Oct 14, 2020","1,253.94","1,262.72","1,266.04","1,250.34","142.06M","-0.69%"
"Oct 13, 2020","1,262.70","1,270.28","1,271.09","1,259.33","143.20M","-0.72%"
"Oct 12, 2020","1,271.84","1,266.82","1,276.94","1,265.41","139.92M","0.67%"
"Oct 09, 2020","1,263.33","1,257.65","1,266.97","1,255.96","140.70M","0.88%"
"Oct 08, 2020","1,252.28","1,248.97","1,256.28","1,248.97","137.80M","0.47%"
"Oct 07, 2020","1,246.40","1,228.04","1,249.65","1,228.04","147.53M","1.89%"
"Oct 06, 2020","1,223.27","1,241.42","1,243.41","1,222.03","153.48M","-1.31%"
"Oct 05, 2020","1,239.50","1,220.77","1,240.52","1,220.77","142.10M","2.09%"
"Oct 02, 2020","1,214.11","1,218.56","1,226.52","1,209.19","140.54M","-0.91%"
"Oct 01, 2020","1,225.24","1,235.33","1,240.56","1,220.51","154.67M","-0.47%"
"Sep 30, 2020","1,231.02","1,212.60","1,239.94","1,212.60","180.81M","1.68%"
"Sep 29, 2020","1,210.72","1,214.62","1,220.42","1,206.12","123.36M","-0.08%"
"Sep 28, 2020","1,211.66","1,209.27","1,221.48","1,209.27","133.90M","0.82%"
"Sep 25, 2020","1,201.81","1,177.46","1,204.73","1,176.69","140.81M","1.65%"
"Sep 24, 2020","1,182.29","1,187.00","1,188.35","1,175.51","156.53M","-0.52%"
"Sep 23, 2020","1,188.52","1,202.76","1,206.38","1,187.59","161.03M","-1.08%"
"Sep 22, 2020","1,201.45","1,201.48","1,205.01","1,190.48","161.56M","-0.19%"
"Sep 21, 2020","1,203.72","1,222.03","1,222.03","1,187.04","197.08M","-1.84%"
"Sep 18, 2020","1,226.34","1,227.30","1,233.94","1,215.20","263.32M","-0.13%"
"Sep 17, 2020","1,227.91","1,225.07","1,232.05","1,217.57","160.36M","-0.31%"
"Sep 16, 2020","1,231.71","1,238.04","1,243.38","1,230.81","173.44M","-0.22%"
