date,positive,negative,hospitalizedCurrently,recovered,death,hospitalized,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-03-25,75242,395632,5140.0,146.0,1058.0,7073.0,524577,238,1949,70882,12891,89096
2020-03-26,92976,482148,7805.0,97.0,1374.0,9551.0,632999,316,2478,86516,17734,108422
2020-03-27,112220,559423,10978.0,2418.0,1782.0,12123.0,735114,408,2572,77275,19244,102115
2020-03-28,131826,657185,12409.0,3145.0,2333.0,14532.0,835570,551,2409,97762,19606,100456
2020-03-29,151270,722597,14055.0,4076.0,2837.0,17326.0,919122,504,2794,65412,19444,83552
2020-03-30,172740,818231,15917.0,4560.0,3425.0,19798.0,1035705,588,2472,95634,21470,116583
2020-03-31,197924,906161,18155.0,5666.0,4332.0,23796.0,1150337,907,3998,87930,25184,114632
2020-04-01,224040,989609,20906.0,7084.0,5336.0,27930.0,1262834,1004,4134,83448,26116,112497
2020-04-02,252085,1082725,22997.0,8586.0,6514.0,32128.0,1385745,1178,4198,93116,28045,122911
2020-04-03,283923,1183277,25777.0,10861.0,7799.0,36731.0,1521120,1285,4603,100552,31838,135375
2020-04-04,316808,1378675,30268.0,12844.0,9280.0,41743.0,1749364,1481,5012,195398,32885,228244
2020-04-05,342463,1473279,32180.0,14589.0,10619.0,45680.0,1871590,1339,3937,94604,25655,122226
2020-04-06,370872,1595189,36159.0,16557.0,11932.0,48623.0,2022867,1313,2943,121910,28409,151277
2020-04-07,401573,1717557,43849.0,18481.0,13976.0,51620.0,2177578,2044,2997,122368,30701,154711
2020-04-08,432490,1836690,45515.0,21132.0,15973.0,55941.0,2335944,1997,4321,119133,30917,158366
2020-04-09,467580,1976687,51313.0,24835.0,18035.0,59772.0,2510349,2062,3831,139997,35090,174405
2020-04-10,501069,2094899,53167.0,29015.0,20107.0,64681.0,2664907,2072,4909,118212,33489,154558
2020-04-11,532174,2205059,55557.0,31567.0,22186.0,68428.0,2806318,2079,3747,110160,31105,141411
2020-04-12,560175,2316191,55449.0,34081.0,23886.0,71759.0,2945783,1700,3331,111132,28001,139465
2020-04-13,584573,2423665,56237.0,35381.0,25516.0,76239.0,3076590,1630,4480,107474,24398,130807
2020-04-14,610651,2549847,59600.0,39304.0,27869.0,79413.0,3237655,2353,3174,126182,26078,161065
2020-04-15,640510,2658358,59924.0,43448.0,30415.0,82923.0,3384181,2546,3510,108511,29859,146526
2020-04-16,672087,2793152,59498.0,48851.0,32612.0,86088.0,3560411,2197,3165,134794,31577,176230
2020-04-17,704069,2918604,58886.0,53562.0,34730.0,89454.0,3724495,2118,3366,125452,31982,164084
2020-04-18,731895,3036688,57788.0,62923.0,36621.0,92903.0,3881483,1891,3449,118084,27826,156988
2020-04-19,759174,3163825,56497.0,67227.0,38384.0,95065.0,4032920,1763,2162,127137,27279,151437
2020-04-20,785279,3283274,56734.0,69507.0,40199.0,97376.0,4180789,1815,2311,119449,26105,147869
2020-04-21,811492,3412067,59773.0,72870.0,42680.0,100109.0,4346796,2481,2733,128793,26213,166007
2020-04-22,840628,3706712,59212.0,92996.0,44762.0,103206.0,4685416,2082,3097,294645,29136,338620
2020-04-23,872598,3874200,59216.0,96947.0,46576.0,106033.0,4893691,1814,2827,167488,31970,208275
2020-04-24,906872,4078470,57324.0,103423.0,48548.0,108405.0,5135062,1972,2372,204270,34274,241371
2020-04-25,942523,4313968,57343.0,112603.0,50175.0,110710.0,5409290,1627,2305,235498,35651,274228
2020-04-26,969581,4493121,56149.0,116565.0,51397.0,112919.0,5615591,1222,2209,179153,27058,206301
2020-04-27,992176,4663007,56183.0,121464.0,52684.0,115162.0,5815412,1287,2243,169886,22595,199821
2020-04-28,1017548,4846436,56034.0,139080.0,54761.0,117168.0,6025337,2077,2006,183429,25372,209925
2020-04-29,1043774,5059493,55987.0,147234.0,57446.0,120129.0,6276560,2685,2961,213057,26226,251223
2020-04-30,1073745,5263080,54921.0,154587.0,59599.0,122505.0,6543127,2153,2376,203587,29971,266567
2020-05-01,1106547,5529215,54862.0,163554.0,61407.0,132383.0,6826340,1808,9878,266135,32802,283213
2020-05-02,1135581,5746314,54009.0,174886.0,62938.0,134369.0,7096401,1531,1986,217099,29034,270061
2020-05-03,1161121,5955860,52619.0,179614.0,64181.0,136223.0,7325329,1243,1854,209546,25540,228928
2020-05-04,1183622,6165697,52377.0,186670.0,65209.0,137995.0,7564257,1028,1772,209837,22501,238928
2020-05-05,1206134,6413375,53176.0,189316.0,67703.0,139931.0,7838094,2494,1936,247678,22512,273837
2020-05-06,1231277,6639314,52581.0,189399.0,69619.0,142090.0,8115377,1916,2159,225939,25143,277283
2020-05-07,1258504,6913574,51425.0,194375.0,72371.0,146266.0,8431439,2752,4176,274260,27227,316062
2020-05-08,1285663,7185625,49758.0,198423.0,74152.0,152506.0,8736572,1781,6240,272051,27159,305133
2020-05-09,1310843,7456267,48561.0,211899.0,75608.0,154175.0,9043384,1456,1669,270642,25180,306812
2020-05-10,1331733,7700762,46760.0,215479.0,76640.0,155223.0,9306602,1032,1048,244495,20890,263218
2020-05-11,1350031,8057763,46550.0,232012.0,77534.0,156592.0,9695486,894,1369,357001,18298,388884
2020-05-12,1372589,8346486,47344.0,238863.0,79040.0,158075.0,10020318,1506,1483,288723,22558,324832
2020-05-13,1394217,8648101,46918.0,243359.0,80774.0,159866.0,10354893,1734,1791,301615,21628,334575
2020-05-14,1420930,8986530,45924.0,246231.0,82626.0,163028.0,10738345,1852,3162,338429,26713,383452
2020-05-15,1446352,9321971,44551.0,250665.0,83889.0,164341.0,11143889,1263,1313,335441,25422,405544
2020-05-16,1469938,9658840,43507.0,268206.0,85084.0,166139.0,11513808,1195,1798,336869,23586,369919
2020-05-17,1490090,10009754,42022.0,272009.0,85934.0,167269.0,11857685,850,1130,350914,20152,343877
2020-05-18,1510934,10343901,41921.0,282949.0,86823.0,168402.0,12222059,889,1133,334147,20844,364374
2020-05-19,1531816,10723847,42023.0,289283.0,88155.0,169951.0,12619092,1332,1549,379946,20882,397033
2020-05-20,1553075,11116560,41871.0,294133.0,89545.0,171710.0,13057842,1390,1759,392713,21259,438750
2020-05-21,1579817,11556368,41347.0,298183.0,90972.0,176257.0,13553189,1427,4547,439808,26742,495347
2020-05-22,1603990,11939479,40014.0,349936.0,92275.0,180202.0,13962064,1303,3945,383111,24173,408875
2020-05-23,1626355,12314969,38581.0,361116.0,93310.0,181585.0,14382307,1035,1383,375490,22365,420243
2020-05-24,1645215,12665598,37757.0,366510.0,93994.0,182612.0,14738902,684,1027,350629,18860,356595
2020-05-25,1663746,13075271,37711.0,378892.0,94548.0,183513.0,15162342,554,901,409673,18531,423440
2020-05-26,1680724,13362700,37775.0,384609.0,95220.0,200800.0,15476570,672,17287,287429,16978,314228
2020-05-27,1700135,13649401,38297.0,391223.0,96536.0,202363.0,15890824,1316,1563,286701,19411,414254
2020-05-28,1722794,14070970,38003.0,477794.0,97778.0,203959.0,16356250,1242,1596,421569,22659,465426
2020-05-29,1746382,14538442,36948.0,484191.0,98947.0,205524.0,16869337,1169,1565,467472,23588,513087
